instance,customer_count,condition,responsibility_mismatch_index,mismatch_numerator_demand_distance,geographic_denominator_demand_distance,changed_customer_count,changed_customer_share,max_owner_demand_relative_drift,map_sha256,mixed_index,target_half_mixed_index,medium_minus_target,restored_pair_count,available_pair_count
L-main-threeshift-10c-01,22,geographic,0.0,0.0,423416107.6542233,0,0.0,0.0,6a763f89d6874d377eb90928a7823f670854bc600dfe7849598c1393c267594f,,,,,
L-main-threeshift-10c-01,22,medium,0.09268706705847128,39245197.16378389,423416107.6542233,4,0.18181818181818182,0.033524684270952926,25c2b27f0b8340c204da8889823a4e2eaf316ed58f442c235faa184fe8760e06,,,,,
L-main-threeshift-10c-01,22,mixed,0.1739509055757296,73653615.36180276,423416107.6542233,6,0.2727272727272727,0.010332950631458095,6839a2a879e610b4a958140bb8753bdee40d4c3c42463f25b07800e633b8d733,,,,,
L-main-threeshift-10c-01,22,medium_generation_check,0.09268706705847128,39245197.16378389,423416107.6542233,4,0.18181818181818182,0.033524684270952926,25c2b27f0b8340c204da8889823a4e2eaf316ed58f442c235faa184fe8760e06,0.1739509055757296,0.0869754527878648,0.005711614270606485,1,3
L-main-threeshift-15c-01,34,geographic,0.0,0.0,571805213.061637,0,0.0,0.0,f631b4140833e25b0b9773523e222f8b56a4d3fae14a474bcf66b002c59a7872,,,,,
L-main-threeshift-15c-01,34,medium,0.16162339407294934,92417099.28362773,571805213.061637,6,0.17647058823529413,0.01282051282051282,ee092790a2ecae69d182ae45868aa8d759aa56ff04e1f83c6a314bc8aa30422d,,,,,
L-main-threeshift-15c-01,34,mixed,0.32116725538686464,183645110.89490733,571805213.061637,12,0.35294117647058826,0.0001456876456876457,5c07418916a5d06b5a19c0bf477a598895b4da207fb31eaacc2c2d26c5a4142e,,,,,
L-main-threeshift-15c-01,34,medium_generation_check,0.16162339407294934,92417099.28362773,571805213.061637,6,0.17647058823529413,0.01282051282051282,ee092790a2ecae69d182ae45868aa8d759aa56ff04e1f83c6a314bc8aa30422d,0.32116725538686464,0.16058362769343232,0.0010397663795170264,3,6
L-main-threeshift-20c-01,45,geographic,0.0,0.0,854239595.3761078,0,0.0,0.0,682338b8a92b374546814fd252cab06a724d706b49a2d4e463dedcfe35e5ea59,,,,,
L-main-threeshift-20c-01,45,medium,0.17433960844904878,148927796.57954448,854239595.3761078,12,0.26666666666666666,0.010588842975206611,a2039404401876e3d9c79d9390348d16e93b08d216f26f176de95f66fdb373ba,,,,,
L-main-threeshift-20c-01,45,mixed,0.3472618614505912,296644832.01510704,854239595.3761078,22,0.4888888888888889,0.00012913223140495868,f3c0716178ff26c267f521c2ebc2624539d1fd058454e7f218b1127bffc07002,,,,,
L-main-threeshift-20c-01,45,medium_generation_check,0.17433960844904878,148927796.57954448,854239595.3761078,12,0.26666666666666666,0.010588842975206611,a2039404401876e3d9c79d9390348d16e93b08d216f26f176de95f66fdb373ba,0.3472618614505912,0.1736309307252956,0.0007086777237531872,5,11
