instance,algorithm,mean_total_cost,best_total_cost,std_total_cost,route_count,cv_routes,ev_routes,zero_violation_count,actual_evals,runtime_seconds,gap_vs_winner_pct,gap_vs_fair_sa_pct,wilcoxon_p_vs_winner,wilcoxon_p_vs_fair_sa,paired_wins_vs_winner,paired_wins_vs_fair_sa,verdict,commit_hash,status,note
100-01-24h,GA,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_FORMAL_COMPARISON,100-eval probe passed zero-violation/full-count but projected 16000-eval runtime exceeds 900s.
100-01-24h,PSO,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_FORMAL_COMPARISON,100-eval probe passed zero-violation/full-count but projected 16000-eval runtime exceeds 900s.
100-01-24h,VNS,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_FORMAL_COMPARISON,100-eval probe passed zero-violation/full-count but projected 16000-eval runtime exceeds 900s.
100-01-24h,ACO,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_FORMAL_COMPARISON,100-eval probe passed zero-violation/full-count but projected 16000-eval runtime exceeds 900s.
100-01-24h,GA-VNS,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_FORMAL_COMPARISON,100-eval probe passed zero-violation/full-count but projected 16000-eval runtime exceeds 900s.
100-01-24h,LNS,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_FORMAL_COMPARISON,100-eval probe passed zero-violation/full-count but projected 16000-eval runtime exceeds 900s.
100-01-24h,GWO,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_FORMAL_COMPARISON,100-eval probe passed zero-violation/full-count but projected 16000-eval runtime exceeds 900s.
100-01-24h,IWD,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_FORMAL_COMPARISON,100-eval probe passed zero-violation/full-count but projected 16000-eval runtime exceeds 900s.
L-main,GA,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
L-main,PSO,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
L-main,VNS,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
L-main,ACO,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
L-main,GA-VNS,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
L-main,LNS,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
L-main,GWO,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
L-main,IWD,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
Scale-150,GA,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
Scale-150,PSO,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
Scale-150,VNS,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
Scale-150,ACO,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
Scale-150,GA-VNS,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
Scale-150,LNS,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
Scale-150,GWO,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
Scale-150,IWD,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
Scale-200,GA,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
Scale-200,PSO,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
Scale-200,VNS,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
Scale-200,ACO,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
Scale-200,GA-VNS,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
Scale-200,LNS,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
Scale-200,GWO,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
Scale-200,IWD,,,,,,,,,,,,,,,,HALT,c02045f,HALT_NOT_RUN,Formal run skipped after 100-01 speed gate showed runtime infeasible.
