instance,algorithm,baseline,n_pairs,p_value_less,method,status,note
100-01-24h,GA,winner-kernel ALNS,0,,not_run,HALT_NOT_FORMAL_COMPARISON,No Wilcoxon test because 10 paired 16000-eval runs were not produced.
100-01-24h,PSO,winner-kernel ALNS,0,,not_run,HALT_NOT_FORMAL_COMPARISON,No Wilcoxon test because 10 paired 16000-eval runs were not produced.
100-01-24h,VNS,winner-kernel ALNS,0,,not_run,HALT_NOT_FORMAL_COMPARISON,No Wilcoxon test because 10 paired 16000-eval runs were not produced.
100-01-24h,ACO,winner-kernel ALNS,0,,not_run,HALT_NOT_FORMAL_COMPARISON,No Wilcoxon test because 10 paired 16000-eval runs were not produced.
100-01-24h,GA-VNS,winner-kernel ALNS,0,,not_run,HALT_NOT_FORMAL_COMPARISON,No Wilcoxon test because 10 paired 16000-eval runs were not produced.
100-01-24h,LNS,winner-kernel ALNS,0,,not_run,HALT_NOT_FORMAL_COMPARISON,No Wilcoxon test because 10 paired 16000-eval runs were not produced.
100-01-24h,GWO,winner-kernel ALNS,0,,not_run,HALT_NOT_FORMAL_COMPARISON,No Wilcoxon test because 10 paired 16000-eval runs were not produced.
100-01-24h,IWD,winner-kernel ALNS,0,,not_run,HALT_NOT_FORMAL_COMPARISON,No Wilcoxon test because 10 paired 16000-eval runs were not produced.
