run_type,instance,algorithm,seed,eval_budget,actual_evals,runtime_seconds,evals_per_second,status,violation_count,best_cost,commit_hash,note
speed_probe,100-01-24h,GA,1,100,100,11.129,8.986,OK,0,6331.298733608956,c02045f,Not a formal comparison run.
speed_probe,100-01-24h,PSO,1,100,100,9.112,10.974,OK,0,6331.298733608956,c02045f,Not a formal comparison run.
speed_probe,100-01-24h,VNS,1,100,100,9.895,10.106,OK,0,6331.298733608956,c02045f,Not a formal comparison run.
speed_probe,100-01-24h,ACO,1,100,100,11.076,9.029,OK,0,6331.298733608956,c02045f,Not a formal comparison run.
speed_probe,100-01-24h,GA-VNS,1,100,100,9.618,10.397,OK,0,6331.298733608956,c02045f,Not a formal comparison run.
speed_probe,100-01-24h,LNS,1,100,100,9.060,11.038,OK,0,5545.806999954760,c02045f,Not a formal comparison run.
speed_probe,100-01-24h,GWO,1,100,100,14.911,6.707,OK,0,6331.298733608956,c02045f,Not a formal comparison run.
speed_probe,100-01-24h,IWD,1,100,100,25.254,3.960,OK,0,6331.298733608956,c02045f,Not a formal comparison run.
anchor_speed_probe,100-01-24h,fair-SA,1,100,100,0.561,178.119,feasible,0,6331.298733608956,c02045f,Existing scikit-opt-SA adapter speed anchor.
anchor_speed_probe,100-01-24h,winner-kernel ALNS,1,100,100,6.386,15.659,OK,0,5406.294961824951,c02045f,Winner-kernel speed anchor.
