algorithm,best_total_cost,instance,mean_route_count,mean_total_cost,median_route_count,median_total_cost,n,std_total_cost,variant,zero_violation_count
scikit-opt-SA,5166.498854217437,100-01-24h,32.7,5346.986857132418,33.0,5359.375301892098,10,82.2834595865374,fair_sa,10
scikit-opt-SA,8180.722121400683,L-main,64.9,8319.837848563908,65.0,8283.592799358128,10,113.67530692417643,fair_sa,10
