network,condition,stream,arm,execution_status,completed_stage_count,failed_stage,failure_error,charging_window_count,deadline_comparable_stage_count,stage_deadline_miss_count,maximum_stage_elapsed_seconds
N114,geographic,1,full,PASS,3,,,15,2,0,2.7869009999994887
N114,geographic,1,no_cooperation,PASS,3,,,16,2,0,2.639577540991013
N114,geographic,1,no_participation,PASS,3,,,17,2,0,2.7893577500071842
N114,geographic,1,simple_insertion,PASS,3,,,14,2,0,1.6424750000005588
N114,geographic,2,full,PASS,3,,,15,2,0,2.8159787920012604
N114,geographic,2,no_cooperation,PASS,3,,,15,2,0,2.6279857920017093
N114,geographic,2,no_participation,PASS,3,,,15,2,0,2.740011333997245
N114,geographic,2,simple_insertion,PASS,3,,,16,2,0,1.4385134159965673
N114,geographic,3,full,PASS,2,,,16,1,0,2.4589217909961008
N114,geographic,3,no_cooperation,PASS,2,,,16,1,0,2.1681057499954477
N114,geographic,3,no_participation,PASS,2,,,17,1,0,2.5028536659956444
N114,geographic,3,simple_insertion,PASS,2,,,16,1,0,1.4064980830007698
N114,geographic,4,full,PASS,3,,,14,2,0,10.646579041000223
N114,geographic,4,no_cooperation,PASS,3,,,9,2,0,12.279794665999361
N114,geographic,4,no_participation,PASS,3,,,10,2,0,10.568038999990677
N114,geographic,4,simple_insertion,PASS,3,,,14,2,0,6.247762541999691
N114,geographic,5,full,PASS,1,,,14,0,0,0.3511365830054274
N114,geographic,5,no_cooperation,PASS,1,,,14,0,0,0.32794158400793094
N114,geographic,5,no_participation,PASS,1,,,14,0,0,0.3527314170059981
N114,geographic,5,simple_insertion,PASS,1,,,15,0,0,0.16097829199861735
N114,historical_mixed,1,full,PASS,3,,,13,2,0,1.7613822090061149
N114,historical_mixed,1,no_cooperation,PASS,3,,,15,2,0,1.6448674999992363
N114,historical_mixed,1,no_participation,HALT_NO_EXECUTABLE_CONTINUATION,1,2,"stage search found no executable continuation (initial_feasible=False, changed=50, executable=0, accepted=0, top_rejections=[('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_EVENT_N_S1_001', 11), ('E7_DYNAMIC_MULTITRIP_V1: route REPACK_001 exceeds one battery', 8), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S2_OPEN_002', 4)])",0,0,0,0.0
N114,historical_mixed,1,simple_insertion,PASS,3,,,15,2,0,0.9488881249999395
N114,historical_mixed,2,full,PASS,3,,,16,2,0,1.725137250003172
