experiment,source_solution,instance_id,seed,arm_or_mode_or_coalition,expected_objective,current_objective,objective_abs_delta,current_legal,current_violation_count,saved_violation_count,current_cost_time,current_route_time_hours,compared_metric_count,mismatch_metrics,status,halt_reason,saved_total_cost,current_total_cost,delta_total_cost,saved_cost_fix,current_cost_fix,delta_cost_fix,saved_cost_km,current_cost_km,delta_cost_km,saved_cost_fuel,current_cost_fuel,delta_cost_fuel,saved_cost_elec,current_cost_elec,delta_cost_elec,saved_cost_occ,current_cost_occ,delta_cost_occ,saved_cost_transship,current_cost_transship,delta_cost_transship,saved_E_cv_direct,current_E_cv_direct,delta_E_cv_direct,saved_E_ev_indirect,current_E_ev_indirect,delta_E_ev_indirect,saved_E_total,current_E_total,delta_E_total,saved_distance_total,current_distance_total,delta_distance_total,saved_electricity_kwh,current_electricity_kwh,delta_electricity_kwh,saved_n_veh_cv,current_n_veh_cv,delta_n_veh_cv,saved_n_veh_ev,current_n_veh_ev,delta_n_veh_ev,root_cause_code,locked_china81_sha256,locked_china81_commit,locked_battery_kwh,current_battery_kwh,locked_charging_curve_sha256,old_curve_action_count,old_curve_max_duration_abs_error_seconds,current_curve_max_duration_abs_error_seconds,root_cause_not_e5
E6,baselines/china_e3_e7/e6_contractor_participation_20260801/formal_e6a_panel_20260801/units/cn-prd-200c-01-V2-LOCATIONS/seed_08/solutions/guangzhou__shenzhen.json,cn-prd-200c-01-V2-LOCATIONS,8,D_guangzhou+D_shenzhen,7662.728368107262,7662.728368107262,0.0,True,0,0,0.0,33.022305555555555,14,,PASS_CURRENT_REPLAY_EQUIVALENT,,7662.728368107262,7662.728368107262,0.0,4590.0,4590.0,0.0,1540.8029673363828,1540.8029673363828,0.0,1378.203777185128,1378.203777185128,0.0,111.43386991766792,111.43386991766792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.04474948098175,501.04474948098175,0.0,62.6416497203469,62.6416497203469,0.0,563.6863992013286,563.6863992013286,0.0,2071223.104551653,2071223.104551653,0.0,218.86878352611433,218.86878352611433,0.0,20.0,20.0,0.0,7.0,7.0,0.0,,,,,,,,,,
E6,baselines/china_e3_e7/e6_contractor_participation_20260801/formal_e6a_panel_20260801/units/cn-prd-200c-01-V2-LOCATIONS/seed_08/solutions/shenzhen.json,cn-prd-200c-01-V2-LOCATIONS,8,D_shenzhen,5202.834776837007,5202.834776837007,0.0,True,0,0,0.0,31.719812581874194,14,,PASS_CURRENT_REPLAY_EQUIVALENT,,5202.834776837007,5202.834776837007,0.0,2380.0,2380.0,0.0,1529.029477002064,1529.029477002064,0.0,1040.1919792098047,1040.1919792098047,0.0,184.9009267502155,184.9009267502155,0.0,32.565210789559195,32.565210789559195,0.0,0.0,0.0,0.0,378.16086290213013,378.16086290213013,0.0,103.67308918216719,103.67308918216719,0.0,481.8339520842973,481.8339520842973,0.0,2107999.167560036,2107999.167560036,0.0,370.58248514219935,370.58248514219935,0.0,10.0,10.0,0.0,4.0,4.0,0.0,,,,,,,,,,
E6,baselines/china_e3_e7/e6_contractor_participation_20260801/formal_e6a_panel_20260801/units/cn-prd-200c-01-V2-LOCATIONS/seed_09/solutions/dongguan.json,cn-prd-200c-01-V2-LOCATIONS,9,D_dongguan,1627.9746149593354,1627.9746149593354,0.0,True,0,0,0.0,10.681166666666666,14,,PASS_CURRENT_REPLAY_EQUIVALENT,,1627.9746149593354,1627.9746149593354,0.0,680.0,680.0,0.0,549.944050137599,549.944050137599,0.0,341.2643978450835,341.2643978450835,0.0,43.826136753956774,43.826136753956774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0663663499014,124.0663663499014,0.0,48.421373222163666,48.421373222163666,0.0,172.48773957206507,172.48773957206507,0.0,763645.014367512,763645.014367512,0.0,137.74494432264882,137.74494432264882,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,,,,,,,,,
E6,baselines/china_e3_e7/e6_contractor_participation_20260801/formal_e6a_panel_20260801/units/cn-prd-200c-01-V2-LOCATIONS/seed_09/solutions/dongguan__foshan.json,cn-prd-200c-01-V2-LOCATIONS,9,D_dongguan+D_foshan,2291.3775654072138,2291.3775654072138,0.0,True,0,0,0.0,13.32775,14,,PASS_CURRENT_REPLAY_EQUIVALENT,,2291.3775654072138,2291.3775654072138,0.0,1190.0,1190.0,0.0,670.140345696782,670.140345696782,0.0,349.6420819151387,349.6420819151387,0.0,66.50560443488918,66.50560443488918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.11206589419149,127.11206589419149,0.0,74.02807487365567,74.02807487365567,0.0,201.14014076784716,201.14014076784716,0.0,944194.592131611,944194.592131611,0.0,209.02619894282253,209.02619894282253,0.0,3.0,3.0,0.0,4.0,4.0,0.0,,,,,,,,,,
E6,baselines/china_e3_e7/e6_contractor_participation_20260801/formal_e6a_panel_20260801/units/cn-prd-200c-01-V2-LOCATIONS/seed_09/solutions/dongguan__foshan__guangzhou.json,cn-prd-200c-01-V2-LOCATIONS,9,D_dongguan+D_foshan+D_guangzhou,6530.080628744268,6530.080628744268,0.0,True,0,0,0.0,34.68205485685804,14,,PASS_CURRENT_REPLAY_EQUIVALENT,,6530.080628744268,6530.080628744268,0.0,3400.0,3400.0,0.0,1753.7966553243018,1753.7966553243018,0.0,1157.3770649299722,1157.3770649299722,0.0,174.03670429595502,174.03670429595502,0.0,1.8949790390745156,1.8949790390745156,0.0,0.0,0.0,0.0,420.76339591614453,420.76339591614453,0.0,152.08684608550996,152.08684608550996,0.0,572.8502420016545,572.8502420016545,0.0,2427618.341655549,2427618.341655549,0.0,457.06012140224055,457.06012140224055,0.0,13.0,13.0,0.0,7.0,7.0,0.0,,,,,,,,,,
E6,baselines/china_e3_e7/e6_contractor_participation_20260801/formal_e6a_panel_20260801/units/cn-prd-200c-01-V2-LOCATIONS/seed_09/solutions/dongguan__foshan__guangzhou__shenzhen.json,cn-prd-200c-01-V2-LOCATIONS,9,D_dongguan+D_foshan+D_guangzhou+D_shenzhen,9273.723666866037,9273.723666866037,0.0,True,0,0,0.0,39.327000000000005,14,,PASS_CURRENT_REPLAY_EQUIVALENT,,9273.723666866037,9273.723666866037,0.0,5780.0,5780.0,0.0,1810.3252601677648,1810.3252601677648,0.0,1512.064119576985,1512.064119576985,0.0,123.56099726347745,123.56099726347745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.7095571309445,549.7095571309445,0.0,87.09782567112435,87.09782567112435,0.0,636.8073828020689,636.8073828020689,0.0,2453652.130316511,2453652.130316511,0.0,298.58432117980345,298.58432117980345,0.0,23.0,23.0,0.0,11.0,11.0,0.0,,,,,,,,,,
E6,baselines/china_e3_e7/e6_contractor_participation_20260801/formal_e6a_panel_20260801/units/cn-prd-200c-01-V2-LOCATIONS/seed_09/solutions/dongguan__foshan__shenzhen.json,cn-prd-200c-01-V2-LOCATIONS,9,D_dongguan+D_foshan+D_shenzhen,6169.351822331701,6169.351822331701,0.0,True,0,0,0.0,30.980777777777778,14,,PASS_CURRENT_REPLAY_EQUIVALENT,,6169.351822331701,6169.351822331701,0.0,3400.0,3400.0,0.0,1468.2635536659195,1468.2635536659195,0.0,1144.028172199291,1144.028172199291,0.0,119.25684098958381,119.25684098958381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.9104179133175,415.9104179133175,0.0,87.99861270394995,87.99861270394995,0.0,503.90903061726743,503.90903061726743,0.0,2002000.005288392,2002000.005288392,0.0,285.81977388366107,285.81977388366107,0.0,13.0,13.0,0.0,7.0,7.0,0.0,,,,,,,,,,
E6,baselines/china_e3_e7/e6_contractor_participation_20260801/formal_e6a_panel_20260801/units/cn-prd-200c-01-V2-LOCATIONS/seed_09/solutions/dongguan__guangzhou.json,cn-prd-200c-01-V2-LOCATIONS,9,D_dongguan+D_guangzhou,5800.708260434051,5800.708260434051,0.0,True,0,0,0.0,30.91368337440123,14,,PASS_CURRENT_REPLAY_EQUIVALENT,,5800.708260434051,5800.708260434051,0.0,2890.0,2890.0,0.0,1571.429575011636,1571.429575011636,0.0,1158.392626384392,1158.392626384392,0.0,137.05798871186224,137.05798871186224,0.0,3.244667898703559,3.244667898703559,0.0,0.0,0.0,0.0,421.1326023738075,421.1326023738075,0.0,119.83517191914498,119.83517191914498,0.0,540.9677742929525,540.9677742929525,0.0,2153838.977056469,2153838.977056469,0.0,364.0777115174235,364.0777115174235,0.0,12.0,12.0,0.0,5.0,5.0,0.0,,,,,,,,,,
E6,baselines/china_e3_e7/e6_contractor_participation_20260801/formal_e6a_panel_20260801/units/cn-prd-200c-01-V2-LOCATIONS/seed_09/solutions/dongguan__guangzhou__shenzhen.json,cn-prd-200c-01-V2-LOCATIONS,9,D_dongguan+D_guangzhou+D_shenzhen,8677.172901615808,8677.172901615808,0.0,True,0,0,0.0,37.917944444444444,14,,PASS_CURRENT_REPLAY_EQUIVALENT,,8677.172901615808,8677.172901615808,0.0,5270.0,5270.0,0.0,1753.7206210664729,1753.7206210664729,0.0,1474.061944286341,1474.061944286341,0.0,133.0881849879397,133.0881849879397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.8939003221072,535.8939003221072,0.0,81.30353069701268,81.30353069701268,0.0,617.1974310191199,617.1974310191199,0.0,2372071.090560972,2372071.090560972,0.0,278.84116689184265,278.84116689184265,0.0,22.0,22.0,0.0,9.0,9.0,0.0,,,,,,,,,,
E6,baselines/china_e3_e7/e6_contractor_participation_20260801/formal_e6a_panel_20260801/units/cn-prd-200c-01-V2-LOCATIONS/seed_09/solutions/dongguan__shenzhen.json,cn-prd-200c-01-V2-LOCATIONS,9,D_dongguan+D_shenzhen,5991.024123886708,5991.024123886708,0.0,True,0,0,0.0,36.76096406115273,14,,PASS_CURRENT_REPLAY_EQUIVALENT,,5991.024123886708,5991.024123886708,0.0,3060.0,3060.0,0.0,1714.9463381307448,1714.9463381307448,0.0,932.085159806464,932.085159806464,0.0,214.3412194931,214.3412194931,0.0,32.70725516791488,32.70725516791488,0.0,0.0,0.0,0.0,338.8587254810857,338.8587254810857,0.0,153.59863640221693,153.59863640221693,0.0,492.4573618833026,492.4573618833026,0.0,2401504.804833366,2401504.804833366,0.0,500.068708406582,500.068708406582,0.0,12.0,12.0,0.0,6.0,6.0,0.0,,,,,,,,,,
