package_id,package,verified_files,decision,artifact_hashes_sha256,status
road_graphs,data/ChinaInstances/china_stage2_sparse_connected_osrm_graphs_v5_20260718,198,PASS_CHINA81_SPARSE_CONNECTED_OSRM_GRAPHS_AND_ALL_POINT_SNAPS,2b93cf9e2f9353e092c3b68852e0570de72379030015649787dfd68320b7480b,PASS
static_inputs,data/ChinaInstances/china81_stage2_static_inputs_v1_20260718,90,PASS_G1_INDEPENDENT_STATIC_INPUTS_FROZEN__WAIT_ROAD_MATRICES_AND_G1,5fad87099052f9deee152c21e0e520183943831500391a155c816ecfd8b3bf2a,PASS
order_attributes,data/ChinaInstances/china81_order_attributes_mc001_v1_20260718,6,PASS_CHINA81_MC001_ORDER_ATTRIBUTE_LAYER_BUILT,23f2b114edc3964b3107f37a5ac3466c425af41cc42cc618a5cc0698207ffc32,PASS
directed_matrices,data/ChinaInstances/china81_local_directed_matrices_v9_20260718,832,PASS_CHINA81_LOCAL_DIRECTED_THREE_MATRICES__FORMAL_ACCEPTANCE_HELD,70ef9000c9c5c0138509602bfdf6bf9d34ac95702bae714840ac45bc493ce4f7,PASS
matrix_diagnostics,data/ChinaInstances/china81_matrix_diagnostics_v1_20260718,5,PASS_CHINA81_MATRIX_DIAGNOSTICS_COMPLETE,c71a20e7a01a29a5632edc2194eef23c78838e759cceb1f533d5824540fa111b,PASS
g1_independent_freeze,data/ChinaInstances/china81_g1_independent_frozen_v2_20260718,5,PASS_CHINA81_G1_INDEPENDENT_DATA_FROZEN__G1_PHYSICAL_SEARCH_ACCEPTANCE_HELD,ee2966259d43a7a6d4f6381d417b043abb180de272d027221523f6f375afcd43,PASS
