instance_id,seed,task_id,expected_objective,replayed_objective,start_direct_violations,start_exact_violations,candidate_complete_objective_evaluations,relocate_feasible_structures,swap_feasible_structures,two_opt_feasible_structures,two_opt_star_feasible_structures,ejection_rebuild_feasible_structures
cn-cy-100c-01-V2-LOCATIONS,3,D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed3,5173.897533382516,5173.897533382516,0,0,0,12,12,12,12,12
cn-jjj-50c-02-V2-LOCATIONS,1,D6-E2-STAGED__cn-jjj-50c-02-V2-LOCATIONS__seed1,2638.913419965574,2638.913419965574,0,0,0,12,12,11,12,12
cn-prd-200c-02-V2-LOCATIONS,1,D6-E2-STAGED__cn-prd-200c-02-V2-LOCATIONS__seed1,9934.809498400024,9934.809498400024,0,0,0,4,12,12,8,12
