kind,source,function,callee,line,channel,status,detail
static_callsite,kernel/alns_core.py,run_alns_wouda,score_reference_solution,185,reference,PASS,
static_callsite,kernel/alns_core.py,vehicle_type_swap,record_repair_delta,851,repair_delta,PASS,
static_callsite,kernel/alns_core.py,_finalize_candidate_state,score_search_candidate,1087,candidate,PASS,
static_callsite,kernel/alns_core.py,_repair_route_delta_score,record_repair_delta,1103,repair_delta,PASS,
static_callsite,kernel/winner.py,apply_winner_action,score_search_candidate,596,candidate,PASS,
static_callsite,kernel/winner.py,run_true_lns_middle_alns_hybrid,cached_or_reference_model_cost,913,reference_or_cache,PASS,
static_callsite,kernel/winner.py,run_true_lns_middle_alns_hybrid,cached_or_reference_model_cost,941,reference_or_cache,PASS,
static_callsite,kernel/winner.py,_run_staged_hybrid_entry,cached_or_reference_model_cost,1070,reference_or_cache,PASS,
static_callsite,kernel/winner.py,_reschedule_staged_result,cached_or_reference_model_cost,1312,reference_or_cache,PASS,
static_callsite,kernel/winner.py,_run_winner_variant,cached_or_reference_model_cost,1612,reference_or_cache,PASS,
static_callsite,kernel/winner.py,_run_winner_kernel_loop,score_reference_solution,1672,reference,PASS,
static_callsite,kernel/winner.py,_run_winner_kernel_loop,score_search_candidate,1873,candidate,PASS,
static_callsite,kernel/winner.py,_run_winner_kernel_loop,score_reference_solution,2149,reference,PASS,
static_callsite,kernel/winner.py,_winner_history_entry,cached_or_reference_model_cost,2241,reference_or_cache,PASS,
static_callsite,kernel/winner.py,_maybe_write_e2_checkpoint,cached_or_reference_model_cost,2709,reference_or_cache,PASS,
static_callsite,kernel/winner.py,_scan_restart_state,score_search_candidate,2772,candidate,PASS,
static_callsite,operators/carbon_operators.py,_route_carbon_kg,evaluate,336,route_delta_or_feature,PASS,
static_callsite,operators/feasible_repair.py,_new_route_options,record_repair_delta,405,repair_delta,PASS,
static_callsite,operators/feasible_repair.py,_new_route_options,record_repair_delta,415,repair_delta,PASS,
static_callsite,operators/feasible_repair.py,_delta_score,record_repair_delta,598,repair_delta,PASS,
static_callsite,operators/local_search.py,_score_internal_solution,score_search_candidate,136,candidate,PASS,
static_callsite,operators/repair_scoring.py,route_model_cost,evaluate,57,route_delta_or_feature,PASS,
static_callsite,runtime/budgeted_scoring.py,score_search_candidate,prepare_and_score_candidate,51,route_delta_or_feature,PASS,
static_callsite,runtime/budgeted_scoring.py,score_reference_solution,prepare_and_score_reference,66,route_delta_or_feature,PASS,
static_callsite,runtime/budgeted_scoring.py,cached_or_reference_model_cost,reference_model_cost,101,reference,PASS,
static_callsite,support/fleet_charge_corepair.py,propose_fleet_charge_corepair,score_search_candidate,70,candidate,PASS,
static_callsite,support/global_order_repack.py,propose_global_order_repack,score_search_candidate,81,candidate,PASS,
behavior_suite,pytest,,,,candidate_reference_repair_and_regression,PASS,........................................................................ [ 38%] | ........................................................................ [ 77%] | ..........................................                               [100%] | 186 passed in 32.99s
