algorithm,bks_distance_double,bks_vehicle_count_hit,bks_vehicles,common_initial_sha256,complete_bks_hit,distance_double,distance_gap_pct_if_vehicle_hit,education,elapsed_seconds,evaluations,feasible,hgs_elapsed_seconds,hgs_initial_solution_count,hybrid_schedule,independent_recompute_pass,instance,lexicographic_score,outer_wall_seconds,route_count,search_elapsed_seconds,seed,solution_sha256,status,time_limit_seconds,vehicle_excess_vs_bks,violation_count,warm_alns_elapsed_seconds,warm_alns_evaluations,warm_distance_double,warm_route_count,warm_solution_sha256
alns_dual_elite_hgs_02,588.492848762554,True,3,6898c80a583b96ec84b83543a3471e66f3c1c1761389e0e8db0de5634f2065e6,True,588.4928487625538,-3.863660806097121e-14,,9.592915374028962,,True,7.51188445801381,25,2.0s_project_alns+7.5s_dual_initial_pyvrp_hgs+0.5s_guard,True,C206,36657.49284876255,9.9977592920186,3,9.592915374028962,1,a82a0abd31704e3f1fefb71043da7b1a93f15d38cfe3283c5e0853ef458dfbb6,OK,10.0,0,0,2.081030916015152,10,3070.6965994628745,4,6898c80a583b96ec84b83543a3471e66f3c1c1761389e0e8db0de5634f2065e6
pyvrp_0_12_2_hgs,828.936866942834,True,10,ea5372ad64327fd95ea5fe6d923cffbb21e250e85cda313de2dc86966395858b,True,828.9368669428342,2.7429552781480094e-14,{},10.019769000005908,,True,,,,True,C107,121058.93686694284,10.21593408298213,10,10.019769000005908,1,ec3ba658664edd01657c07f4409b1adbb973fed23ea09a11db10f2df32f38ad2,OK,10.0,0,0,,,,,
project_alns,1118.838588495717,False,10,2e501fc85bbe30857a2d83e79133eb431d81bda37c29450d48a8aa1f8d5317be,False,1234.3389610715558,,,10.003406042000279,2638,True,,,,True,R110,150461.33896107157,10.004605875001289,13,10.003406042000279,1,bd6a03aadd3568e7c7b587f8b2f1d5aa60db431a7209b17ca6e70db31492a66d,OK,10.0,3,0,,,,,
alns_dual_elite_hgs_02,1118.838588495717,False,10,2e501fc85bbe30857a2d83e79133eb431d81bda37c29450d48a8aa1f8d5317be,False,1123.8378154387947,,,9.512741499987897,,True,7.508221541997045,25,2.0s_project_alns+7.5s_dual_initial_pyvrp_hgs+0.5s_guard,True,R110,127392.83781543879,9.762504625017755,11,9.512741499987897,1,1d59bb843e2b8cef6aef1620c6c07b7c6782d5ee0b00e7c2c63c1db8720e155c,OK,10.0,1,0,2.0045199579908513,367,1287.6707594298289,14,715bda31c19463fee165342165baa9a8550dfeef09866dcd32c9ebfcc8f84676
pyvrp_0_12_2_hgs,1424.733683786682,True,11,783ec6da509bca9955edd590ec963227b526d0071d0fa3dbd919b4c95c5446c3,False,1428.8026431828844,0.2855943845861701,{},10.019860916014295,,True,,,,True,RC106,140600.8026431829,10.166673166037071,11,10.019860916014295,1,ea35ae6948f86f5010d5def56be38c7fe51b52e416e2f9d810275fcbebc44765,OK,10.0,0,0,,,,,
project_alns,1146.317229262314,False,3,9f3ae8fdb4efb7d7c39b17e3e07aa5f494bc9937d230e9bc3a1577fc149fd971,False,1494.7884091282772,,,10.017770416976418,57,True,,,,True,RC206,64754.788409128276,10.018488333036657,5,10.017770416976418,1,b7d4fa6a38de43db6bfc5e0d07560c7402e86897b95785970f883aac56e5baf5,OK,10.0,2,0,,,,,
alns_dual_elite_hgs_02,909.163356160689,True,3,9489585f3b78e2686cdc4c25c8da56c7a98d2223bcf567f8a99af723e5d350a2,False,955.6395945097854,5.1119788357244405,,9.59693729202263,,True,7.505847416992765,25,2.0s_project_alns+7.5s_dual_initial_pyvrp_hgs+0.5s_guard,True,R209,35392.63959450978,9.866520875017159,3,9.59693729202263,1,50ccbc1e390fa86b727f75eea0836427ac7262a63513f9cb942503c51040d2c4,OK,10.0,0,0,2.0910898750298657,20,2738.032278121801,6,6321ac825a1ed115454386dde2ba1746ceb4fb3e2cc41e1a5e7f13912aa2457b
pyvrp_0_12_2_hgs,588.492848762554,True,3,6898c80a583b96ec84b83543a3471e66f3c1c1761389e0e8db0de5634f2065e6,True,588.4928487625539,-1.9318304030485605e-14,{},10.022283166006673,,True,,,,True,C206,36657.49284876255,10.166427874995861,3,10.022283166006673,1,55356679687a5669480a19ca1834abcd74aa898b3aac32637357ae1861c410fd,OK,10.0,0,0,,,,,
pyvrp_0_12_2_hgs,1118.838588495717,True,10,2e501fc85bbe30857a2d83e79133eb431d81bda37c29450d48a8aa1f8d5317be,False,1146.8076955813542,2.4998339682975907,{},10.025093292002566,,True,,,,True,R110,115936.80769558136,10.23343720898265,10,10.025093292002566,1,2a400e6a9c9d3e38df8570e9fdb5e1f2babac340adcba26839f36faba3cc9513,OK,10.0,0,0,,,,,
project_alns,828.936866942834,True,10,ea5372ad64327fd95ea5fe6d923cffbb21e250e85cda313de2dc86966395858b,True,828.9368669428342,2.7429552781480094e-14,,10.071815875009634,87,True,,,,True,C107,121058.93686694284,10.072683540987782,10,10.071815875009634,1,34ec6e69293108629bfd6aa73d818835ba5854076c8aab4b05d496c94710c447,OK,10.0,0,0,,,,,
alns_dual_elite_hgs_02,1146.317229262314,True,3,9f3ae8fdb4efb7d7c39b17e3e07aa5f494bc9937d230e9bc3a1577fc149fd971,False,1157.3453049690409,0.9620439635042177,,9.60156741697574,,True,7.502611624950077,25,2.0s_project_alns+7.5s_dual_initial_pyvrp_hgs+0.5s_guard,True,RC206,39113.34530496904,9.84725429204991,3,9.60156741697574,1,04be7aaea1739791b5537e1b423a68fbb78340e9bdd87b9516e1ef73b41d5296,OK,10.0,0,0,2.098955792025663,16,2391.3674494147735,6,a39615483cd0bb55a90ac45f4519eb93e8dec4386c19537e5fee1848d467388e
alns_dual_elite_hgs_02,1424.733683786682,True,11,783ec6da509bca9955edd590ec963227b526d0071d0fa3dbd919b4c95c5446c3,False,1426.6041215107755,0.13128332300828888,,9.508348457980901,,True,7.502840458007995,25,2.0s_project_alns+7.5s_dual_initial_pyvrp_hgs+0.5s_guard,True,RC106,140598.60412151078,9.6976625410025,11,9.508348457980901,1,37d5e3ed638bd3f79009f4224df471f9a7b0332b06fc930d94c6a5efb11a6099,OK,10.0,0,0,2.005507999972906,422,1711.354123180553,17,8eab7be0e3dd47f87f10fe4ac0434752098c838d387cb619bb2c09a0a1dfd33c
pyvrp_0_12_2_hgs,1146.317229262314,True,3,9f3ae8fdb4efb7d7c39b17e3e07aa5f494bc9937d230e9bc3a1577fc149fd971,False,1153.9371662891858,0.6647319635748214,{},10.022959084017202,,True,,,,True,RC206,39109.937166289186,10.23805095802527,3,10.022959084017202,1,97f297c164b6d9f52080f8238d56b8f2ccccb8185f95c9f838bbcf2c9f9ec72b,OK,10.0,0,0,,,,,
alns_dual_elite_hgs_02,828.936866942834,True,10,ea5372ad64327fd95ea5fe6d923cffbb21e250e85cda313de2dc86966395858b,True,828.9368669428342,2.7429552781480094e-14,,9.583649916923605,,True,7.507584499951918,25,2.0s_project_alns+7.5s_dual_initial_pyvrp_hgs+0.5s_guard,True,C107,121058.93686694284,9.890769666992128,10,9.583649916923605,1,a80fe62f1aec3fe0c9c8ce33a0f99beab8e1a830ba5f3890976625b639bc3c52,OK,10.0,0,0,2.0760654169716872,17,1652.4917444469663,11,9b6a61d711ec2bbe753fa1f35dfb8e037523acd41c118d8084d8670e5cf2db5c
project_alns,588.492848762554,False,3,6898c80a583b96ec84b83543a3471e66f3c1c1761389e0e8db0de5634f2065e6,False,727.4888343223429,,,10.021623125008773,358,True,,,,True,C206,48819.48883432234,10.02225554198958,4,10.021623125008773,1,a1ef177ff44ecb7459bf3cc55b785a818337e5f399d512fb23fc55ae1fa3f263,OK,10.0,1,0,,,,,
project_alns,909.163356160689,False,3,9489585f3b78e2686cdc4c25c8da56c7a98d2223bcf567f8a99af723e5d350a2,False,1136.0703812197198,,,10.174703208031133,59,True,,,,True,R209,70010.07038121972,10.175403416971676,6,10.174703208031133,1,ffac03415d0c0b9a82494081a498f0e9ba9a56fb7b628e5b3b750da2c917011d,OK,10.0,3,0,,,,,
project_alns,1424.733683786682,False,11,783ec6da509bca9955edd590ec963227b526d0071d0fa3dbd919b4c95c5446c3,False,1596.335864199651,,,10.0062668750179,3040,True,,,,True,RC106,204028.33586419965,10.007207790971734,16,10.0062668750179,1,fa20390f051988f639155e7d9afc803777e6d5d23ab02fdb59e63e6b48c35a9e,OK,10.0,5,0,,,,,
pyvrp_0_12_2_hgs,909.163356160689,True,3,9489585f3b78e2686cdc4c25c8da56c7a98d2223bcf567f8a99af723e5d350a2,False,920.8403722272872,1.2843694136452135,{},10.019170499988832,,True,,,,True,R209,35357.840372227285,10.272101500013378,3,10.019170499988832,1,054fb34c7835aa67078e514b4e0e2c2b92b48ff66fdef50fc24e292d9c4c8565,OK,10.0,0,0,,,,,
