algorithm,baseline_profits,cooperative_profits_with_fee,cross_site_customer_count,min_profit_ratio,profit_ratios,quota_kg,seed,theta_1_feasible
GA,"{""D0"": 15076.870733874315, ""D1"": 13820.747951252697}","{""D0"": 12823.991715823471, ""D1"": 11493.526109494813}",23,0.8316139003499483,"{""D0"": 0.8505738320758343, ""D1"": 0.8316139003499483}",1021.7873341394676,1,False
GA,"{""D0"": 14820.388082117523, ""D1"": 13225.335348811099}","{""D0"": 12268.25495655368, ""D1"": 11820.160785962791}",27,0.8277957964782797,"{""D0"": 0.8277957964782797, ""D1"": 0.8937513094535915}",925.7293702090569,2,False
GA,"{""D0"": 15159.240788104496, ""D1"": 13914.760169950428}","{""D0"": 13044.121028278456, ""D1"": 12313.039811300485}",19,0.860473239432559,"{""D0"": 0.860473239432559, ""D1"": 0.8848905522562341}",2285.1702331751453,3,False
GA,"{""D0"": 14610.397670381473, ""D1"": 13264.19177479222}","{""D0"": 12635.462354047337, ""D1"": 12184.90372067325}",16,0.8648267240297114,"{""D0"": 0.8648267240297114, ""D1"": 0.9186314498128646}",775.055193340859,4,False
GA,"{""D0"": 15331.947263805243, ""D1"": 13286.835666624243}","{""D0"": 12857.082281012868, ""D1"": 11914.286560207529}",17,0.8385811704013039,"{""D0"": 0.8385811704013039, ""D1"": 0.896698571363799}",768.4374942062925,5,False
LNS,"{""D0"": 15076.870733874315, ""D1"": 13820.747951252697}","{""D0"": 10488.81778888466, ""D1"": 9779.283653173828}",57,0.6956893094081295,"{""D0"": 0.6956893094081295, ""D1"": 0.707579914463851}",1021.7873341394676,1,False
LNS,"{""D0"": 14820.388082117523, ""D1"": 13225.335348811099}","{""D0"": 11949.109039038485, ""D1"": 10874.15225040371}",42,0.8062615481342515,"{""D0"": 0.8062615481342515, ""D1"": 0.8222212869166489}",925.7293702090569,2,False
LNS,"{""D0"": 15159.240788104496, ""D1"": 13914.760169950428}","{""D0"": 11971.221418727084, ""D1"": 11490.3236287442}",26,0.7896979529555952,"{""D0"": 0.7896979529555952, ""D1"": 0.8257651219571924}",2285.1702331751453,3,False
LNS,"{""D0"": 14610.397670381473, ""D1"": 13264.19177479222}","{""D0"": 11423.629777706876, ""D1"": 10838.526759477409}",43,0.7818835623389715,"{""D0"": 0.7818835623389715, ""D1"": 0.8171268135669874}",775.055193340859,4,False
LNS,"{""D0"": 15331.947263805243, ""D1"": 13286.835666624243}","{""D0"": 11173.31994663274, ""D1"": 9799.656099134187}",60,0.7287606560590028,"{""D0"": 0.7287606560590028, ""D1"": 0.73754627098688}",768.4374942062925,5,False
PSO,"{""D0"": 15076.870733874315, ""D1"": 13820.747951252697}","{""D0"": 12884.901905327773, ""D1"": 12177.777475832798}",7,0.8546138076503048,"{""D0"": 0.8546138076503048, ""D1"": 0.8811228971677338}",1021.7873341394676,1,False
PSO,"{""D0"": 14820.388082117523, ""D1"": 13225.335348811099}","{""D0"": 11992.385552612697, ""D1"": 10992.899627166127}",31,0.8091816142846401,"{""D0"": 0.8091816142846401, ""D1"": 0.8312000669347369}",925.7293702090569,2,False
PSO,"{""D0"": 15159.240788104496, ""D1"": 13914.760169950428}","{""D0"": 12248.585963842675, ""D1"": 11471.419337425501}",26,0.8079946835763819,"{""D0"": 0.8079946835763819, ""D1"": 0.824406543649855}",2285.1702331751453,3,False
PSO,"{""D0"": 14610.397670381473, ""D1"": 13264.19177479222}","{""D0"": 12003.937257310492, ""D1"": 11505.872264049023}",28,0.8216023634760568,"{""D0"": 0.8216023634760568, ""D1"": 0.8674386241847939}",775.055193340859,4,False
PSO,"{""D0"": 15331.947263805243, ""D1"": 13286.835666624243}","{""D0"": 11705.634220186526, ""D1"": 10860.165157566806}",38,0.7634799428132979,"{""D0"": 0.7634799428132979, ""D1"": 0.8173627965345358}",768.4374942062925,5,False
VNS,"{""D0"": 15076.870733874315, ""D1"": 13820.747951252697}","{""D0"": 13050.581372966702, ""D1"": 12181.044765581963}",7,0.8656027900832897,"{""D0"": 0.8656027900832897, ""D1"": 0.8813593018659953}",1021.7873341394676,1,False
VNS,"{""D0"": 14820.388082117523, ""D1"": 13225.335348811099}","{""D0"": 12897.495695675374, ""D1"": 11342.394739719377}",31,0.8576262484519162,"{""D0"": 0.8702535739423494, ""D1"": 0.8576262484519162}",925.7293702090569,2,False
VNS,"{""D0"": 15159.240788104496, ""D1"": 13914.760169950428}","{""D0"": 13023.143795364065, ""D1"": 12151.806072343528}",7,0.8590894476445923,"{""D0"": 0.8590894476445923, ""D1"": 0.8733033069866284}",2285.1702331751453,3,False
VNS,"{""D0"": 14610.397670381473, ""D1"": 13264.19177479222}","{""D0"": 13389.401507232089, ""D1"": 12339.382902498963}",0,0.9164296420470049,"{""D0"": 0.9164296420470049, ""D1"": 0.9302777818660011}",775.055193340859,4,False
VNS,"{""D0"": 15331.947263805243, ""D1"": 13286.835666624243}","{""D0"": 12112.75395352398, ""D1"": 10608.037939354108}",51,0.7900336301129247,"{""D0"": 0.7900336301129247, ""D1"": 0.7983870806802316}",768.4374942062925,5,False
staged_hybrid_carbon_aware,"{""D0"": 15076.870733874315, ""D1"": 13820.747951252697}","{""D0"": 14562.537803368712, ""D1"": 13140.523106134106}",6,0.9507823420615281,"{""D0"": 0.9658859627051114, ""D1"": 0.9507823420615281}",1021.7873341394676,1,False
staged_hybrid_carbon_aware,"{""D0"": 14820.388082117523, ""D1"": 13225.335348811099}","{""D0"": 14502.920122715113, ""D1"": 13584.765193121699}",8,0.9785789712358834,"{""D0"": 0.9785789712358834, ""D1"": 1.0271773709195897}",925.7293702090569,2,False
staged_hybrid_carbon_aware,"{""D0"": 15159.240788104496, ""D1"": 13914.760169950428}","{""D0"": 13665.420379742523, ""D1"": 12695.801024077069}",0,0.9014580987766763,"{""D0"": 0.9014580987766763, ""D1"": 0.9123981203423284}",2285.1702331751453,3,False
staged_hybrid_carbon_aware,"{""D0"": 14610.397670381473, ""D1"": 13264.19177479222}","{""D0"": 14526.182070135637, ""D1"": 13357.31772452092}",11,0.9942359132074441,"{""D0"": 0.9942359132074441, ""D1"": 1.0070208536871188}",775.055193340859,4,False
staged_hybrid_carbon_aware,"{""D0"": 15331.947263805243, ""D1"": 13286.835666624243}","{""D0"": 14041.429560871875, ""D1"": 13026.410511800874}",12,0.9158281932015285,"{""D0"": 0.9158281932015285, ""D1"": 0.9803997609846608}",768.4374942062925,5,False
staged_hybrid_carbon_naive,"{""D0"": 15076.870733874315, ""D1"": 13820.747951252697}","{""D0"": 14559.59719769288, ""D1"": 13137.4360052894}",6,0.9505589749286064,"{""D0"": 0.965690921855605, ""D1"": 0.9505589749286064}",1021.7873341394676,1,False
staged_hybrid_carbon_naive,"{""D0"": 14820.388082117523, ""D1"": 13225.335348811099}","{""D0"": 14500.558978406414, ""D1"": 13582.23912283298}",8,0.9784196539295068,"{""D0"": 0.9784196539295068, ""D1"": 1.0269863685576763}",925.7293702090569,2,False
staged_hybrid_carbon_naive,"{""D0"": 15159.240788104496, ""D1"": 13914.760169950428}","{""D0"": 13664.271430075385, ""D1"": 12694.935038257401}",0,0.9013823067443972,"{""D0"": 0.9013823067443972, ""D1"": 0.9123358852905495}",2285.1702331751453,3,False
staged_hybrid_carbon_naive,"{""D0"": 14610.397670381473, ""D1"": 13264.19177479222}","{""D0"": 14522.596927901712, ""D1"": 13354.17293052088}",11,0.993990530274357,"{""D0"": 0.993990530274357, ""D1"": 1.0067837646843785}",775.055193340859,4,False
staged_hybrid_carbon_naive,"{""D0"": 15331.947263805243, ""D1"": 13286.835666624243}","{""D0"": 14037.419410547827, ""D1"": 13023.104896168503}",12,0.9155666380151554,"{""D0"": 0.9155666380151554, ""D1"": 0.9801509722049008}",768.4374942062925,5,False
