algorithm,cross_site_cost_if_enabled,cross_site_customer_count,current_checker_violation_count,free_cost_match,instance,original_cross_site_list_count,replayed_free_cross_site_cost,reported_cost,seed,what_if_cost_delta,what_if_total_cost_with_cross_site_fee
VNS,1235.0,13,0,True,L-main-threeshift-25c-01,0,1320.0464321773115,1320.0464321773115,1,1235.0,2555.0464321773115
VNS,380.0,4,0,True,L-main-threeshift-25c-01,0,1169.573860138187,1169.573860138187,2,380.0,1549.573860138187
VNS,570.0,6,0,True,L-main-threeshift-25c-01,0,1217.538681466341,1217.538681466341,3,570.0,1787.538681466341
VNS,285.0,3,0,True,L-main-threeshift-25c-01,0,1214.8713877647137,1214.8713877647137,4,285.0,1499.8713877647137
VNS,285.0,3,0,True,L-main-threeshift-25c-01,0,1316.3460740631708,1316.3460740631708,5,285.0,1601.3460740631708
staged_hybrid_carbon_aware,475.0,5,0,True,L-main-threeshift-25c-01,0,1200.6727124775032,1200.6727124775032,1,475.0,1675.6727124775032
staged_hybrid_carbon_aware,570.0,6,0,True,L-main-threeshift-25c-01,0,1154.300270189253,1154.300270189253,2,570.0,1724.300270189253
staged_hybrid_carbon_aware,475.0,5,0,True,L-main-threeshift-25c-01,0,1185.5715736798995,1185.5715736798995,3,475.0,1660.5715736798995
staged_hybrid_carbon_aware,475.0,5,0,True,L-main-threeshift-25c-01,0,1198.168648799729,1198.168648799729,4,475.0,1673.168648799729
staged_hybrid_carbon_aware,475.0,5,0,True,L-main-threeshift-25c-01,0,1153.8202097249168,1153.8202097249168,5,475.0,1628.8202097249168
staged_hybrid_carbon_naive,475.0,5,0,True,L-main-threeshift-25c-01,0,1201.7230124979274,1201.7230124979274,1,475.0,1676.7230124979274
staged_hybrid_carbon_naive,570.0,6,0,True,L-main-threeshift-25c-01,0,1154.8988802248346,1154.8988802248346,2,570.0,1724.8988802248346
staged_hybrid_carbon_naive,475.0,5,0,True,L-main-threeshift-25c-01,0,1186.106864976788,1186.106864976788,3,475.0,1661.106864976788
staged_hybrid_carbon_naive,475.0,5,0,True,L-main-threeshift-25c-01,0,1198.359878545441,1198.359878545441,4,475.0,1673.359878545441
staged_hybrid_carbon_naive,475.0,5,0,True,L-main-threeshift-25c-01,0,1154.299228013101,1154.299228013101,5,475.0,1629.299228013101
GA,1520.0,16,0,True,L-main-threeshift-50c-01,0,2884.6806227310794,2884.6806227310794,1,1520.0000000000005,4404.68062273108
GA,1710.0,18,0,True,L-main-threeshift-50c-01,0,3094.865230992565,3094.865230992565,2,1710.0000000000005,4804.865230992566
GA,1520.0,16,0,True,L-main-threeshift-50c-01,0,2884.6806227310794,2884.6806227310794,3,1520.0000000000005,4404.68062273108
GA,1520.0,16,0,True,L-main-threeshift-50c-01,0,2886.7912822520625,2886.7912822520625,4,1520.0000000000005,4406.791282252063
GA,1805.0,19,0,True,L-main-threeshift-50c-01,0,3146.148473465136,3146.148473465136,5,1805.0,4951.148473465136
LNS,760.0,8,0,True,L-main-threeshift-50c-01,0,2575.1292458093067,2575.1292458093067,1,760.0,3335.1292458093067
LNS,1710.0,18,0,True,L-main-threeshift-50c-01,0,2548.9422606820945,2548.9422606820945,2,1710.0,4258.9422606820945
LNS,2090.0,22,0,True,L-main-threeshift-50c-01,0,2648.9564302556805,2648.9564302556805,3,2090.0000000000005,4738.956430255681
LNS,855.0,9,0,True,L-main-threeshift-50c-01,0,2407.0927556585466,2407.0927556585466,4,855.0,3262.0927556585466
LNS,1330.0,14,0,True,L-main-threeshift-50c-01,0,2516.5440175972317,2516.5440175972317,5,1330.0,3846.5440175972317
PSO,1805.0,19,0,True,L-main-threeshift-50c-01,0,3199.355863591204,3199.355863591204,1,1805.0,5004.355863591204
PSO,1710.0,18,0,True,L-main-threeshift-50c-01,0,3037.991009616468,3037.991009616468,2,1710.0000000000005,4747.991009616469
PSO,1805.0,19,0,True,L-main-threeshift-50c-01,0,3138.6302692158065,3138.6302692158065,3,1805.0000000000005,4943.630269215807
PSO,2090.0,22,0,True,L-main-threeshift-50c-01,0,3052.388998537814,3052.388998537814,4,2089.9999999999995,5142.388998537814
PSO,2470.0,26,0,True,L-main-threeshift-50c-01,0,3128.2304612294197,3128.2304612294197,5,2470.0000000000005,5598.23046122942
VNS,1520.0,16,0,True,L-main-threeshift-50c-01,0,2970.8532202247566,2970.8532202247566,1,1519.9999999999995,4490.853220224756
VNS,2945.0,31,0,True,L-main-threeshift-50c-01,0,2890.2577065220366,2890.2577065220366,2,2945.0,5835.257706522037
VNS,2470.0,26,0,True,L-main-threeshift-50c-01,0,3088.533264688513,3088.533264688513,3,2469.9999999999995,5558.533264688513
VNS,1805.0,19,0,True,L-main-threeshift-50c-01,0,2723.1027389704586,2723.1027389704586,4,1805.0,4528.102738970459
VNS,1995.0,21,0,True,L-main-threeshift-50c-01,0,2871.0019140034324,2871.0019140034324,5,1995.0000000000005,4866.001914003433
staged_hybrid_carbon_aware,1330.0,14,0,True,L-main-threeshift-50c-01,0,2535.531108613054,2535.531108613054,1,1330.0,3865.531108613054
staged_hybrid_carbon_aware,855.0,9,0,True,L-main-threeshift-50c-01,0,2522.0567573973794,2522.0567573973794,2,855.0,3377.0567573973794
staged_hybrid_carbon_aware,950.0,10,0,True,L-main-threeshift-50c-01,0,2626.651455359303,2626.651455359303,3,950.0,3576.651455359303
staged_hybrid_carbon_aware,570.0,6,0,True,L-main-threeshift-50c-01,0,2410.9039238631376,2410.9039238631376,4,570.0,2980.9039238631376
staged_hybrid_carbon_aware,570.0,6,0,True,L-main-threeshift-50c-01,0,2672.4572409716147,2672.4572409716147,5,570.0,3242.4572409716147
staged_hybrid_carbon_naive,1330.0,14,0,True,L-main-threeshift-50c-01,0,2536.029635181658,2536.029635181658,1,1330.0,3866.029635181658
staged_hybrid_carbon_naive,855.0,9,0,True,L-main-threeshift-50c-01,0,2522.7730900470533,2522.7730900470533,2,855.0,3377.7730900470533
staged_hybrid_carbon_naive,950.0,10,0,True,L-main-threeshift-50c-01,0,2627.6574457767965,2627.6574457767965,3,950.0,3577.6574457767965
staged_hybrid_carbon_naive,570.0,6,0,True,L-main-threeshift-50c-01,0,2411.5557719138196,2411.5557719138196,4,570.0,2981.5557719138196
staged_hybrid_carbon_naive,570.0,6,0,True,L-main-threeshift-50c-01,0,2673.718648616462,2673.718648616462,5,570.0,3243.718648616462
GA,475.0,5,0,True,L-main-threeshift-75c-01,0,4567.750432536371,4567.750432536371,1,475.0,5042.750432536371
GA,2850.0,30,0,True,L-main-threeshift-75c-01,0,4633.63694406577,4633.63694406577,2,2850.0,7483.63694406577
GA,2185.0,23,0,True,L-main-threeshift-75c-01,0,4559.056773695005,4559.056773695005,3,2185.0,6744.056773695005
GA,2185.0,23,0,True,L-main-threeshift-75c-01,0,4559.056773695005,4559.056773695005,4,2185.0,6744.056773695005
GA,2850.0,30,0,True,L-main-threeshift-75c-01,0,4671.625549328717,4671.625549328717,5,2850.0,7521.625549328717
LNS,665.0,7,0,True,L-main-threeshift-75c-01,0,3741.9119272160915,3741.9119272160915,1,665.0,4406.9119272160915
LNS,665.0,7,0,True,L-main-threeshift-75c-01,0,3920.277441786688,3920.277441786688,2,665.0000000000005,4585.2774417866885
LNS,380.0,4,0,True,L-main-threeshift-75c-01,0,3870.0950801687086,3870.0950801687086,3,380.0000000000009,4250.0950801687095
LNS,285.0,3,0,True,L-main-threeshift-75c-01,0,3854.4982863751707,3854.4982863751707,4,284.99999999999955,4139.49828637517
LNS,665.0,7,0,True,L-main-threeshift-75c-01,0,3981.028177575106,3981.028177575106,5,665.0000000000005,4646.028177575106
PSO,665.0,7,0,True,L-main-threeshift-75c-01,0,4759.958607449407,4759.958607449407,1,665.0,5424.958607449407
PSO,3230.0,34,0,True,L-main-threeshift-75c-01,0,4678.781951010316,4678.781951010316,2,3230.0,7908.781951010316
PSO,3420.0,36,0,True,L-main-threeshift-75c-01,0,4608.361183335268,4608.361183335268,3,3420.0,8028.361183335268
PSO,2755.0,29,0,True,L-main-threeshift-75c-01,0,4623.355490048048,4623.355490048048,4,2755.0,7378.355490048048
PSO,3325.0,35,0,True,L-main-threeshift-75c-01,0,4556.8604858241415,4556.8604858241415,5,3325.0,7881.8604858241415
VNS,665.0,7,0,True,L-main-threeshift-75c-01,0,5129.247235295611,5129.247235295611,1,665.0,5794.247235295611
VNS,570.0,6,0,True,L-main-threeshift-75c-01,0,5014.323906071257,5014.323906071257,2,570.0,5584.323906071257
VNS,1045.0,11,0,True,L-main-threeshift-75c-01,0,4637.118559346773,4637.118559346773,3,1045.0,5682.118559346773
VNS,1140.0,12,0,True,L-main-threeshift-75c-01,0,5166.402974237859,5166.402974237859,4,1140.0,6306.402974237859
VNS,1330.0,14,0,True,L-main-threeshift-75c-01,0,4109.623415788896,4109.623415788896,5,1330.000000000001,5439.623415788897
staged_hybrid_carbon_aware,380.0,4,0,True,L-main-threeshift-75c-01,0,3825.496840735729,3825.496840735729,1,379.9999999999991,4205.496840735728
staged_hybrid_carbon_aware,285.0,3,0,True,L-main-threeshift-75c-01,0,3942.420892450074,3942.420892450074,2,284.99999999999955,4227.420892450074
staged_hybrid_carbon_aware,190.0,2,0,True,L-main-threeshift-75c-01,0,3895.445812112434,3895.445812112434,3,190.0,4085.445812112434
staged_hybrid_carbon_aware,285.0,3,0,True,L-main-threeshift-75c-01,0,3909.076309344999,3909.076309344999,4,285.00000000000045,4194.076309345
staged_hybrid_carbon_aware,285.0,3,0,True,L-main-threeshift-75c-01,0,3755.2360143305314,3755.2360143305314,5,285.0,4040.2360143305314
staged_hybrid_carbon_naive,380.0,4,0,True,L-main-threeshift-75c-01,0,3827.1272548816564,3827.1272548816564,1,379.99999999999955,4207.127254881656
staged_hybrid_carbon_naive,285.0,3,0,True,L-main-threeshift-75c-01,0,3944.2080991514476,3944.2080991514476,2,285.0,4229.208099151448
staged_hybrid_carbon_naive,190.0,2,0,True,L-main-threeshift-75c-01,0,3897.752043022656,3897.752043022656,3,190.0,4087.752043022656
staged_hybrid_carbon_naive,285.0,3,0,True,L-main-threeshift-75c-01,0,3910.6741548557284,3910.6741548557284,4,285.0000000000009,4195.674154855729
staged_hybrid_carbon_naive,285.0,3,0,True,L-main-threeshift-75c-01,0,3756.7973929622062,3756.7973929622062,5,285.0,4041.7973929622062
