algorithm,cross_site_cost_if_enabled,cross_site_customer_count,current_checker_violation_count,free_cost_match,instance,original_cross_site_list_count,replayed_free_cross_site_cost,reported_cost,seed,what_if_cost_delta,what_if_total_cost_with_cross_site_fee
VNS,760.0,8,0,True,L-main-threeshift-100c-01,0,6564.374454109231,6564.374454109231,1,760.0,7324.374454109231
VNS,1235.0,13,0,True,L-main-threeshift-100c-01,0,6056.319865987234,6056.319865987234,2,1235.0,7291.319865987234
VNS,2185.0,23,0,True,L-main-threeshift-100c-01,0,6282.950685793877,6282.950685793877,3,2185.000000000001,8467.950685793878
VNS,1330.0,14,0,True,L-main-threeshift-100c-01,0,6337.477870182631,6337.477870182631,4,1330.0,7667.477870182631
VNS,1900.0,20,0,True,L-main-threeshift-100c-01,0,6466.65347699746,6466.65347699746,5,1899.999999999999,8366.653476997459
staged_hybrid_carbon_aware,1615.0,17,0,True,L-main-threeshift-100c-01,0,5211.846216947982,5211.846216947982,1,1615.0,6826.846216947982
staged_hybrid_carbon_aware,1615.0,17,0,True,L-main-threeshift-100c-01,0,5635.972781395283,5635.972781395283,2,1615.0,7250.972781395283
staged_hybrid_carbon_aware,475.0,5,0,True,L-main-threeshift-100c-01,0,5456.571521014809,5456.571521014809,3,475.0,5931.571521014809
staged_hybrid_carbon_aware,1710.0,18,0,True,L-main-threeshift-100c-01,0,4755.8218423428325,4755.8218423428325,4,1710.0,6465.8218423428325
staged_hybrid_carbon_aware,855.0,9,0,True,L-main-threeshift-100c-01,0,5047.622574425395,5047.622574425395,5,855.0,5902.622574425395
staged_hybrid_carbon_naive,1615.0,17,0,True,L-main-threeshift-100c-01,0,5213.844439259619,5213.844439259619,1,1615.0,6828.844439259619
staged_hybrid_carbon_naive,1615.0,17,0,True,L-main-threeshift-100c-01,0,5639.452595092536,5639.452595092536,2,1615.0,7254.452595092536
staged_hybrid_carbon_naive,475.0,5,0,True,L-main-threeshift-100c-01,0,5459.14866636221,5459.14866636221,3,475.0,5934.14866636221
staged_hybrid_carbon_naive,1710.0,18,0,True,L-main-threeshift-100c-01,0,4758.09880562455,4758.09880562455,4,1710.0,6468.09880562455
staged_hybrid_carbon_naive,855.0,9,0,True,L-main-threeshift-100c-01,0,5048.9002190976,5048.9002190976,5,855.0,5903.9002190976
GA,190.0,2,0,True,L-main-threeshift-10c-01,0,803.2040126129434,803.2040126129434,1,190.0,993.2040126129434
GA,190.0,2,0,True,L-main-threeshift-10c-01,0,701.1135206305416,701.1135206305416,2,190.0,891.1135206305416
GA,475.0,5,0,True,L-main-threeshift-10c-01,0,709.3262174394858,709.3262174394858,3,475.0,1184.3262174394858
GA,475.0,5,0,True,L-main-threeshift-10c-01,0,743.3652872834584,743.3652872834584,4,475.0,1218.3652872834584
GA,190.0,2,0,True,L-main-threeshift-10c-01,0,708.8284135730945,708.8284135730945,5,190.0,898.8284135730945
LNS,285.0,3,0,True,L-main-threeshift-10c-01,0,648.5631028751067,648.5631028751067,1,285.0,933.5631028751067
LNS,285.0,3,0,True,L-main-threeshift-10c-01,0,648.5631028751067,648.5631028751067,2,285.0,933.5631028751067
LNS,285.0,3,0,True,L-main-threeshift-10c-01,0,648.5631028751067,648.5631028751067,3,285.0,933.5631028751067
LNS,285.0,3,0,True,L-main-threeshift-10c-01,0,648.5631028751067,648.5631028751067,4,285.0,933.5631028751067
LNS,285.0,3,0,True,L-main-threeshift-10c-01,0,648.5631028751067,648.5631028751067,5,285.0,933.5631028751067
PSO,380.0,4,0,True,L-main-threeshift-10c-01,0,801.1576237478515,801.1576237478515,1,379.9999999999999,1181.1576237478514
PSO,665.0,7,0,True,L-main-threeshift-10c-01,0,854.6713596113462,854.6713596113462,2,664.9999999999999,1519.6713596113461
PSO,380.0,4,0,True,L-main-threeshift-10c-01,0,840.4307509854278,840.4307509854278,3,380.0000000000001,1220.430750985428
PSO,665.0,7,0,True,L-main-threeshift-10c-01,0,854.6713596113462,854.6713596113462,4,664.9999999999999,1519.6713596113461
PSO,665.0,7,0,True,L-main-threeshift-10c-01,0,846.4414824751866,846.4414824751866,5,665.0,1511.4414824751866
VNS,285.0,3,0,True,L-main-threeshift-10c-01,0,695.7114041580778,695.7114041580778,1,285.0,980.7114041580778
VNS,475.0,5,0,True,L-main-threeshift-10c-01,0,665.2553955988669,665.2553955988669,2,475.0,1140.255395598867
VNS,285.0,3,0,True,L-main-threeshift-10c-01,0,648.5631028751067,648.5631028751067,3,285.0,933.5631028751067
VNS,285.0,3,0,True,L-main-threeshift-10c-01,0,648.5631028751067,648.5631028751067,4,285.0,933.5631028751067
VNS,285.0,3,0,True,L-main-threeshift-10c-01,0,648.5631028751067,648.5631028751067,5,285.0,933.5631028751067
staged_hybrid_carbon_aware,285.0,3,0,True,L-main-threeshift-10c-01,0,648.5631028751067,648.5631028751067,1,285.0,933.5631028751067
staged_hybrid_carbon_aware,285.0,3,0,True,L-main-threeshift-10c-01,0,648.5631028751067,648.5631028751067,2,285.0,933.5631028751067
staged_hybrid_carbon_aware,285.0,3,0,True,L-main-threeshift-10c-01,0,648.5631028751067,648.5631028751067,3,285.0,933.5631028751067
staged_hybrid_carbon_aware,285.0,3,0,True,L-main-threeshift-10c-01,0,648.5631028751067,648.5631028751067,4,285.0,933.5631028751067
staged_hybrid_carbon_aware,285.0,3,0,True,L-main-threeshift-10c-01,0,648.5631028751067,648.5631028751067,5,285.0,933.5631028751067
staged_hybrid_carbon_naive,285.0,3,0,True,L-main-threeshift-10c-01,0,648.564303300374,648.564303300374,1,285.0,933.564303300374
