algorithm,cross_site_customer_total,current_checker_violation_runs,free_cost_mismatch_runs,reported_cost_total,run_count,what_if_cost_total_with_cross_site_fee
GA,564,0,0,197883.4639658207,45,251463.4639658207
LNS,758,0,0,185862.88092587385,45,257872.88092587385
PSO,703,0,0,206849.73705797765,45,273634.73705797765
VNS,565,0,0,197162.7122025882,45,250837.7122025882
staged_hybrid_carbon_aware,278,0,0,173139.28439123105,45,199549.28439123105
staged_hybrid_carbon_naive,278,0,0,173203.4724160155,45,199613.4724160155
